tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
91424,6414,ITFollow,001,30,2022-12-16,368.38824954124806,2018-01-05,long,1.0,2018-02-23,398.2363379902191,7.6,1194.71,655.46
91425,6414,ITFollow,001,30,2022-12-16,389.9888398661613,2018-04-02,long,1.0,2018-05-17,377.02848567121333,-3.78,1131.09,655.8
91426,6414,ITFollow,001,30,2022-12-16,242.99865125358315,2019-02-26,long,1.0,2019-04-12,224.7127995706212,-7.97,674.14,399.89
91427,6414,ITFollow,001,30,2022-12-16,191.84838928696988,2019-10-28,long,1.0,2019-12-06,211.53588775091657,9.75,634.61,344.89
91428,6414,ITFollow,001,30,2022-12-16,221.17019550986922,2020-06-22,long,1.0,2020-08-04,216.5624831034136,-2.55,649.69,374.26
91429,6414,ITFollow,001,30,2022-12-16,236.2499815673603,2020-08-07,long,1.0,2020-09-17,231.8262744638462,-2.34,695.48,400.21
91430,6414,ITFollow,001,30,2022-12-16,250.95077597897236,2021-01-18,long,1.0,2021-03-10,216.8998342569185,-13.99,650.7,400.01
91431,6414,ITFollow,001,30,2022-12-16,217.63504413206928,2021-11-05,long,1.0,2021-12-16,221.66361556064072,1.37,664.99,375.6
91432,6414,ITFollow,001,30,2022-12-16,235.21510297482837,2021-12-20,long,1.0,2022-02-09,213.9199084668192,-9.49,641.76,384.01
91433,6414,ITFollow,001,0,2022-12-16,,,,,,,,,
91434,6415,ITFollow,001,30,2022-12-16,212.67118332865908,2013-12-13,long,1.0,2014-01-24,213.61638858789757,-0.03,640.85,364.48
91435,6415,ITFollow,001,30,2022-12-16,512.7343817833679,2017-03-16,long,1.0,2017-04-28,528.1260330188911,2.52,1584.38,889.94
91436,6415,ITFollow,001,30,2022-12-16,1691.42107793938,2020-09-21,long,1.0,2020-11-04,1845.1866304793236,8.58,5535.56,3023.8
91437,6415,ITFollow,001,30,2022-12-16,2940.0,2022-06-02,long,1.0,2022-07-14,555.0,-81.28,1665.0,2988.22
91438,6415,ITFollow,001,0,2022-12-16,,,,,,,,,
